romanian,french,italian,spanish,portuguese,ancestor

a,al,avere,alde
ad͡ʒil,aʒil,ad͡ʒile,axil
ad͡ʒitat͡sie,aʒitatjɔ̃,ad͡ʒitasione,axitasion
aɡonie,aɡɔnj,aɡonia,aɡonja
aɡresiune,aɡrɛsjɔ̃,aɡːresːione,aɡɾesjon
aɡresiv,aɡrɛsif,aɡːresːivo,aɡɾesibo
aɡresor,aɡrɛsœr,aɡːresːore,aɡɾesoɾ
aɡrikol,aɡrikɔl,aɡrikola,aɡɾikola
aɡrikulturə,aɡrikyltyr,aɡrikoltura,aɡɾikultuɾa
avea,aj,aʎo,axo
aʒuta,ɛde,ajutare,aiudaɾ
albedo,albedɔ,albedo,albedo
albiu,ob,alveo,alba
alboare,obur,albore,alboɾ
album,albɥə̃,album,album
aleatoriu,aleatwar,aleatorio,aleatoɾjo
aled͡ʒe,alje,alːed͡ʒːere,aliɡaɾ
aleɡorie,aleɡɔrj,alːeɡoria,aleɡoɾja
alɡə,alɡɥ,alɡa,alɡa
ald͡ʒebrə,alʒɛbr,áld͡ʒebra,alxebɾa
aliment,alim,alimento,alimento
aloe,aloè,aloe,aloe
alopet͡ʃie,alɔpekj,alopet͡ʃa,alopesia
alpin,alpɛ̃,alpino,alpino
alt,otr,altro,otɾo
altar,otɛl,altare,altaɾ
altera,altere,alterare,alteɾaɾ
alteritate,altɛrite,alterita,alteɾidad
altul,otr,altro,otɾo
aluminiu,alyminjɥə̃,alːuminio,aluminjo
alveolə,alveɔl,alveolo,albeolo
amar,ame,amaret͡sa,amaɾɡo
ambasadə,ambasa,ambast͡ʃata,embaxada
ambiant,âbjan,ambiente,ambjente
ambidekstru,ambidɛkstr,ambidestro,ambidekstɾo
ambiɡuu,ambiɡ,ambiɡuo,ambiɡwo
ambit͡sie,ambitjɔ̃,ambisione,ambision
ambit͡sios,ambitjœ,ambisioso,ambisioso
ambit͡siune,ambitjɔ̃,ambisione,ambision
amenint͡sa,mənaze,minat͡ʃːare,amenasaɾ
amfiteatru,amfiteɑtr,anfiteatro,anfiteatɾo
amforə,amfɔr,anfora,anfoɾa
amik,ami,amiko,amiɡo
amor,amur,amore,amoɾ
amplifikator,âplifikatœr,amplifikatore,amplifikadoɾ
amputa,ampyte,amputare,amputaɾ
amulet,amylɛ,amuleto,amuleto
amuletə,amylɛ,amuleto,amuleto
an,ɛ̃,anːo,aɲo
anaforə,anafɔr,anafora,anafoɾa
analoɡ,analɔɡɥ,analoɡo,analoɡo
analod͡ʒie,analɔɡj,analod͡ʒa,analoxia
anapest,anapɛst,anapesto,anapesto
anatemə,anatɛm,anátema,anatema
anatomie,anatɔmj,anatomia,anatomja
ankorə,âkr,ankora,ankla
aneksiune,anɛksjɔ̃,anːesːione,aneksjon
anɡilə,aŋyjl,anɡuilːa,anɡila
anɡlikan,âɡlikâ,anʎkano,anɡlikano
anima,animațin,animare,animaɾ
animalitate,animalite,animalita,animalidad
animat͡sie,animatjɔ̃,animasione,animasion
animat͡siune,animatjɔ̃,animasione,animasion
animozitate,animɔzite,animosita,animosidad
aniversar,anivɛrsɛr,anːiversario,anibeɾsaɾjo
anomalie,anɔmalj,anomalia,anomalja
antet͡ʃedent,anteze,antet͡ʃedente,antesedente
anterior,anterjœr,anteriore,anteɾjoɾ
antik,antjk,antiko,antiɡwo
antikar,antjʃar,antikuario,antikwaɾjo
antikitate,antjkite,antikita,antiɡwedad
antit͡ʃipat͡sie,antjzipatjɔ̃,antit͡ʃipasione,antisipasion
antit͡ʃipat͡siune,antjzipatjɔ̃,antit͡ʃipasione,antisipasion
antidot,antjdɔ,antidoto,antidoto
antimoniu,antjmwan,antimoniu,antimonjo
antinomie,antjnɔmj,antinomia,antinomja
antipatie,antjpatj,antipatia,antipatja
antipod,antjpɔ,antipode,antipoda
antirabik,antjrabik,rabːia,ɾabja
anualə,anɥɛl,anːuale,anwal
aparent͡sə,aparɛn,apːarensa,apaɾjensia
apatie,apatj,apatia,apatja
apedukt,akɛdyk,akkuedotːo,akwedukto
apendit͡ʃe,apɛndiz,apːendit͡ʃe,apendise
apendikular,apɛndikylɛr,apːendikolare,apendikulaɾ
aperitiv,aperitjf,aperitivo,apeɾitibo
aperturə,apɛrtyr,apertura,abeɾtuɾa
apetit,apetj,apːetito,apetito
apikultoare,apikyltœr,apikultore,apikultoɾ
aplauda,aplodir,apːlaudire,aplaudiɾ
aplikə,aplik,apːlikare,aplikaɾ
aplikat͡sie,aplikatjɔ̃,apːlikasione,aplikasion
apokopə,apɔkɔ,apokope,apokope
apoloɡ,apɔlɔɡɥ,apoloɡo,apoloɡo
apolod͡ʒetikə,apɔlɔʒetjk,apolod͡ʒetika,apoloxetika
apoplektik,apɔplɛktjk,apopletːiko,apopletiko
apopleksie,apɔplɛktjk,apoplesːia,apoplexja
apos,əvœ,akkuoso,aɡwoso
apostat,apɔsta,apostata,apostata
apostazie,apɔstasj,apostasia,apostasja
apostolik,apɔstɔlik,apostoliko,apostoliko
apostrof,apɔstrɔf,apostrofo,apostɾofe
apostrofə,apɔstrɔf,apostrofo,apostɾofe
apoteozə,apɔteɔz,apoteosi,apoteosis
apozit͡sie,apɔzitjɔ̃,apːosisione,aposision
apozit͡siune,apɔzitjɔ̃,apːosisione,aposision
apret͡ʃia,aprekje,apːret͡sare,apɾesiaɾ
aprinde,aprâdr,apːrendere,apɾendeɾ
aproba,aprɔbatjv,apːrobare,apɾobaɾ
apropria,aprɔprje,apːropriare,apɾopjado
ara,ara,arare,aɾa
aramə,ɛrɛ̃,rame,alambɾe
arbitra,arbitre,arbitrare,aɾbitɾaɾ
arbitrar,arbitrɛr,arbitrario,aɾbitɾaɾjo
arbitru,arbitr,arbitro,aɾbitɾo
arbore,arbr,albero,aɾboledo
arborest͡ʃent,arbɔrɛz,arborest͡ʃente,aɾboɾessente
arbure,arbr,álbero,aɾbol
arbust,arbyst,arbusto,aɾbusto
ark,ark,arko,aɾko
arkosolium,arkɔzɔljɥə̃,arkosolio,aɾkosoljo
arktik,arktjk,artiko,aɾtiko
ardere,ardwar,ardere,aɾdoɾ
ardoare,ardœr,ardore,aɾdoɾ
areolə,areɔl,areola,aɾeola
ard͡ʒilos,arʒilœ,ard͡ʒilːoso,aɾsiʝoso
arɡument,arɡm,arɡomento,aɾɡwmento
arɡumentat͡sie,arɡmɛntatjɔ̃,arɡomentasione,aɾɡwmentasion
arhitekt,arʃitɛkt,arkitetːo,aɾkitekto
arhitekturə,arʃitɛktyr,arkitetːura,aɾkitektuɾa
arhivə,arʃiv,arkivio,aɾt͡ʃibo
arhivoltə,arʃivɔlt,arkivolto,aɾkiboltas
arie,ɛr,aja,eɾa
arit͡ʃi,erisɔ̃,rit͡ʃːo,eɾiso
arid,ari,arido,aɾido
arinə,arɛn,rena,aɾenoso
aritmetikə,aritmɛtjk,aritmetika,aɾitmetika
armə,armatyr,arma,aɾmaduɾa
arməturə,armatyr,armatura,aɾmaduɾa
armonie,armɔnj,armonia,aɾmonja
armonik,armɔnik,armoniko,aɾmoniko
aroɡant,arrɔɡan,arːoɡante,aroɡante
aroɡant͡sə,arrɔɡan,arːoɡansa,aroɡansia
arsenik,arsɛnik,arseniko,aɾseniko
artə,art,arte,aɾte
arterə,artɛr,arteria,aɾteɾja
artikol,artjkl,artikolo,aɾtikulo
artifit͡ʃial,artjfikjɛl,artifit͡ʃale,aɾtifisial
artifit͡ʃiu,artjfiz,artifit͡ʃo,aɾtifisio
artilerie,artjlɛrj,artiʎeria,aɾtiʝeɾja
artritə,artri,artrite,aɾtɾitis
artritik,artritjk,artritiko,aɾtɾitiko
as,a,asːo,as
aʃa,ɛnsi,kosi,asi
ast͡ʃendent,azɛndan,ast͡ʃendente,assendente
askultat,askute,aʃoltare,askut͡ʃaɾ
askut͡si,ɛɡɥize,aɡut͡sare,aɡwsaɾ
asesor,asɛsœr,asːesːore,asesoɾ
asfalt,asfalt,asfalto,asfalto
asiduitate,asidɥite,asːiduita,asidwidad
asin,ɑn,asina,asna
aspira,aspire,aspirare,aspiɾaɾ
aspru,ɑpr,aspro,aspeɾo
astmə,astm,azma,asma
astmatik,astmatjk,azmatiko,asmatiko
astraɡal,astraɡal,astraɡalo,astɾaɡalo
astral,astral,astrale,astɾal
astroloɡə,astrɔlɔɡɥ,astrolod͡ʒa,astɾoloxia
astrolod͡ʒie,astrɔlɔɡj,astrolod͡ʒa,astɾoloxia
astronomə,astrɔnɔm,astronomia,astɾonomja
astronomik,astrɔnɔmik,astronomiko,astɾonomiko
astronomie,astrɔnɔmj,astronomia,astɾonomja
atare,itɛl,tale,atal
atavism,atavism,atavizmo,atabismo
ateu,ate,ateo,ateo
atent͡sie,atâtjɔ̃,atːensione,atension
atenuat,atenɥe,atːenuare,atenwaɾ
atit͡ʃism,atizism,atːit͡ʃizmo,atisismo
atlet,atlɛ,atleta,at͡ɬeta
atom,atɔm,atomo,atomo
atotputernit͡ʃie,ɔmnipɔtɛn,onːipotensa,omnipotensia
atrakt͡sie,atraktjɔ̃,atːrasione,atɾaksion
atrakt͡siune,atraktjɔ̃,atːrasione,atɾaksion
atribut,atriby,atːributo,atɾibuto
atriu,atrjɥə̃,atrio,atɾjo
atrot͡ʃe,atrɔz,atrot͡ʃe,atɾos
atrot͡ʃitate,atrɔzita,atrot͡ʃita,atɾosidad
atrofie,atrɔfj,atrofia,atɾofja
auzi,wir,udire,oiɾ
audibil,odibl,udibile,audible
auɡmenta,oɡmɛnte,aumentare,aumentaɾ
aur,ɔr,oro,oɾo
aurə,ora,aura,auɾa
aurikular,orikylɛr,aurikolare,auɾikulaɾ
aurifer,orifɛr,aurifero,auɾifeɾo
auster,ostɛr,austero,austeɾo
austeritate,osterite,austerite,austeɾidad
austral,ostral,australe,austɾal
autentik,otɛntjzita,autentiko,autentiko
autoare,otœr,autore,autoɾa
autoɡraf,otɔɡraf,autoɡrafo,autoɡɾafo
avarit͡sie,avariz,avarisia,abaɾisia
aventurə,avɛntyr,aventura,abentuɾa
avid,avi,avido,abido
avokat,avɔka,avːokato,aboɡado
avort,avɔrta,aborto,aboɾto
avulsiune,avylsjɔ̃,avulsione,abulsjon
aksilə,aksil,ast͡ʃelːa,aksila
aksiomə,aksjɔmatjk,asːioma,aksjoma
bakantə,bakʃan,bakːante,bakante
bat͡ʃil,bazij,bat͡ʃilːo,basilo
bəiat,bajle,ital,kɾjo
bale,baba,balːa,baba
balistə,balist,balista,balista
balnear,balneɛr,balneare,balneaɾjo
balneoterapie,balneɔtɛrapj,balneoterapia,balneoteɾapja
balsam,bomje,balsamo,balsamo
barbə,barb,barba,baɾba
barbar,barbar,barbaro,baɾbaɾo
barbarie,babarj,barbarie,baɾbaɾje
bəʃikə,vɛsj,vest͡ʃika,bexiɡa
batə,bat,batːere,batiɾ
bətaie,batajl,batːaʎa,bataʝa
bea,bwar,bere,bebedoɾ
bearkə,brɛʃ,bret͡ʃːa,bɾet͡ʃa
beatifika,beatjfje,beatifikare,beatifikaɾ
belikos,bɛlikœ,belːikoso,belikoso
belid͡ʒerant,bɛliʒeran,belːid͡ʒerante,belixeɾante
benefit͡ʃiar,benefikjɛr,benefit͡ʃario,benefisiaɾjo
beʃikə,vɛsj,best͡ʃiɡa,bexiɡa
bibliotekə,bibljɔtɛk,biblioteka,bibljoteka
bit͡ʃeps,bizɛ,bit͡ʃefal,biseps
bienal,bjɛnal,bienːale,bjenal
biɡam,biɡam,biɡamo,biɡamo
bilinɡv,biliŋɥ,bilinɡue,bilinɡwe
bilios,biljœ,bilioso,biljoso
bine,bjâ,bene,bjen
binefəkətor,bjɛnfɛtœr,benefatːore,benefaktoɾ
bipartit͡sie,bipartjtjɔ̃,bipartisione,bipaɾtision
bitum,bitym,bitume,betun
bituminos,bityminœ,bituminoso,bituminoso
bizantin,bizantɛ̃,bisantino,bisantino
bizon,bizɔ̃,bisonte,bisonte
blasfemia,blasfɛm,blasfemia,blasfemja
bou,boeyf,bove,bwei
boraks,bɔra,borat͡ʃe,boɾaks
boreal,bɔreal,boreale,boɾeal
boteza,batwá,batːed͡ʒːare,bautisaɾ
bovin,bɔvɛ̃,bovino,bobino
brahial,braʃjal,brakiale,bɾakjal
brat͡s,bra,brat͡ʃːo,bɾaso
brut,abrytjr,bruto,bɾuto
brutal,brytal,brutale,bɾutal
bukə,buʃ,bokːa,boka
bukolik,bykɔlik,bukoliko,bukoliko
buf,buf,bufːo,buo
bulbo,bylbɔ,bulbo,bulbo
bun,bɔ̃,buono,bweno
bunətate,bɔnte,bontá,bondad
burik,nɔ̃bril,beliko,ombliɡo
busolə,busɔl,busːola,bɾuxula
bust,byst,busto,busto
kabalinə,ʃəvalɛ̃,kavalːino,kabaʝo
kəka,ʃje,kakare,kaɡando
kad,ʃanʒ,akːadersi,kaeɾ
kadə,ʃanʒ,akːadersi,kadoso
kadrilater,kadrilatɛr,kuadrilatero,kwadɾilateɾo
kadut͡ʃeu,kadyze,kadut͡ʃeo,kaduseo
kal,karruzɛl,kavalːo,kabaʝo
kəlare,ʃəvalje,kavaʎere,kabaʝeɾo
kəlka,kalk,kalko,pisaɾ
kalkula,kalkyle,kalkolare,kalkulaɾ
kald,ʃo,kaldo,kald
kəldare,ʃaɥajɛr,kaldaia,kaldeɾa
kalendar,frima,kalendario,kalendaɾjo
kalomnia,kalɔ̃nje,kalunːia,kalumnja
kalorifik,kalɔrifik,kalorifiko,kaloɾifiko
kalos,kalœ,kalːoso,kaʝoso
kalvit͡sie,kalvitj,kalvisie,kalbisie
kəmaʃə,ʃəmiz,kamist͡ʃa,kamisa
kəmaʃe,ʃəmiz,kamist͡ʃa,kamisa
kamfor,kamfr,kanfora,alkanfoɾ
kəmilə,ʃamo,kamːelːo,kameʝo
kɨmp,ʃam,kampo,kampo
kampanə,kampan,kampana,kampaɲa
kanal,kanal,kanale,kanal
kandidat,kandida,kandidato,kandidato
kanɡrenə,ɡâɡrɛne,kankrena,ɡanɡɾena
kanonik,kanɔnik,kanːoniko,kanoniko
kanoniza,kanɔnize,kanonit͡sare,kanonisaɾ
kantabile,kantabil,mus,kantabile
kantilenə,kantjlɛn,kantilena,kantilena
kantitate,kantjte,kuantita,kantidad
kanulə,kanyl,kanːula,kanula
kap,ka,kapo,kabesa
kapə,ka,kapːa,kapa
kəpəstru,ʃəvɛtr,kapestro,kabestɾo
kapete,aʃɛve,kapitare,akabdaɾ
kapilar,kapijɛr,kapilːare,kapilaɾ
kapital,kapital,kapitale,kapital
kaprə,ʃamwa,kapra,kabɾa
kəprar,ʃɛvrje,kapraio,kabɾeɾisa
kapsulə,kapsyl,kapsula,kapsula
kar,ʃar,kalare,akareaɾ
kərare,ʃarrje,kalare,akareaɾ
karat,kara,karato,kilate
kərbunar,ʃarbɔ̃nje,karbonaio,kaɾboneɾo
kərbune,ʃarbɔ̃,karbone,kaɾbon
kardinal,kardinal,kardinale,kaɾdinal
karea,kəl,kuale,kwal
karie,karj,karie,kaɾjes
karitate,ʃaritabl,karita,kaɾidad
karnal,ʃarnɛl,karnale,kaɾnal
karne,ʃɛr,karne,kaɾnestolendas
karnivor,karnivɔr,karnivoro,kaɾniboɾo
karpen,ʃarm,karpino,kaɾpe
karte,kart,karta,libɾo
kasə,kɛs,akːasare,kasaɾ
kast,ʃast,kasto,kasto
kastelan,ʃɑtɛlɛ̃,kastelːano,kasteʝano
kastitate,ʃastɛte,kastita,kastidad
kastor,kastɔr,kastoro,kastoɾ
kastra,kastre,kastrare,kastɾaɾ
kat͡sə,ʃas,kat͡ʃːa,kasa
kataloɡ,katalɔɡɥ,kataloɡo,kataloɡo
katar,katarr,katarːo,kataro
katastrofə,katastrɔf,katastrofe,katastɾofe
kateɡorie,kateɡɔrj,kateɡoria,kateɡoɾja
katenə,ʃɛn,katena,kadena
katetə,katɛ,kateto,kateto
kateter,katete,katetere,kateteɾ
katolik,katɔlik,katːoliko,katoliko
kaud,ko,kaudale,kaudal
kaustik,kostjk,kaustiko,kaustiko
kauzə,koz,kausa,kausaɾ
kauzal,kozal,kausale,kausal
kauza,koze,kausare,kausaɾ
kavernə,kavɛrn,kaverna,kabeɾna
kavernos,kavɛrnœ,kavernoso,kabeɾnoso
kavitate,kavite,kavita,kabidad
kazeinə,kazœ,kaseina,kaseina
kazual,kazɥɛl,kasuale,kaswal
t͡ʃearə,sir,t͡ʃera,keɾeɾ
t͡ʃelar,sɛlje,t͡ʃelːaio,siʝeɾo
t͡ʃeleritate,selerite,t͡ʃelerita,seleɾidad
t͡ʃelest,selɛst,t͡ʃeleste,seleste
t͡ʃelibat,seliba,t͡ʃelibato,selibato
t͡ʃenotaf,senɔtaf,t͡ʃenotafio,senotafjo
t͡ʃens,sɛn,t͡ʃenso,senso
t͡ʃentaur,sɛntor,t͡ʃentaurus,sentauɾo
t͡ʃentral,kâtral,t͡ʃentrale,sentɾal
t͡ʃentru,kâtr,t͡ʃentro,sentɾo
t͡ʃenturion,sɛntyrjɔ̃,t͡ʃenturione,sentuɾjon
t͡ʃenuʃə,kâdr,t͡ʃinid͡ʒa,senisa
t͡ʃenzurə,sɛnsyr,t͡ʃensura,sensuɾa
t͡ʃep,sə,t͡ʃepːă,sepo
t͡ʃere,kjəl,t͡ʃerːo,sielo
t͡ʃerb,sɛrf,t͡ʃervo,sieɾbo
t͡ʃert͡ʃel,sɛrso,t͡ʃert͡ʃelːo,seɾsiʝo
t͡ʃerealə,sereal,t͡ʃereale,seɾeal
t͡ʃeremonie,seremɔnj,t͡ʃerimonia,seɾemonja
t͡ʃerere,kɛrr,kiedere,keɾeɾ
t͡ʃertifika,sɛrtjfje,t͡ʃertifikare,seɾtifikaɾ
t͡ʃervikal,sɛrvikal,t͡ʃervikale,seɾbikal
t͡ʃerviks,servi,t͡ʃervit͡ʃe,seɾbis
t͡ʃetate,site,t͡ʃitːa,siudad
t͡ʃezurə,sezyr,t͡ʃesura,sesuɾa
kear,klɛr,kiaro,klaɾo
kel,kləf,kiave,ʝabe
kema,klame,kiamare,ʝamaɾ
kiaɡ,kaj,kaʎo,kwaxo
kirurd͡ʒie,ʃiryrɡj,kirurd͡ʒa,siɾuxia
t͡ʃikatrit͡ʃe,sikatriz,t͡ʃikatrit͡ʃe,sikatɾis
t͡ʃit͡ʃerone,sizerɔn,t͡ʃit͡ʃerone,siseɾone
t͡ʃiklik,siklik,t͡ʃikliko,sikliko
t͡ʃiklu,sikl,t͡ʃiklo,siklo
t͡ʃilindru,silɛ̃dr,t͡ʃilindro,silindɾo
t͡ʃimitir,simɛtjɛr,t͡ʃimiterio,sementeɾjo
t͡ʃint͡ʃi,sink,t͡ʃinkue,sinko
t͡ʃint͡ʃinal,kinkɛnal,kuinkuenːale,kinkenal
t͡ʃɨnd,kan,kuando,kwando
t͡ʃine,sin,t͡ʃena,sena
t͡ʃɨnepə,ʃâvr,kánapa,kaɲamo
t͡ʃinerar,sinerɛr,t͡ʃinerario,sineɾaɾjo
t͡ʃinɡə,kɛ̃dr,t͡ʃind͡ʒere,seɲiɾ
t͡ʃinɡulum,siŋylɥə̃,t͡ʃinɡolo,sinɡwlo
t͡ʃinik,sinik,t͡ʃiniko,siniko
t͡ʃinism,sinism,t͡ʃinizmo,sinismo
t͡ʃirk,sirk,t͡ʃirko,siɾko
t͡ʃirkuit,sirkɥi,t͡ʃirkuito,siɾkwito
t͡ʃirkumt͡ʃide,sirkɔnsir,t͡ʃirkont͡ʃidere,siɾkunsidaɾ
t͡ʃirkumferent͡sə,sirkɔnferɛn,t͡ʃirkonferensa,siɾkunfeɾensia
t͡ʃirkumskrie,sirkɔ̃skrir,t͡ʃirkoʃrivere,siɾkunskɾibiɾ
t͡ʃirkumspekt,sirkɔ̃spɛkt,t͡ʃirkospetːo,siɾkunspekto
t͡ʃirkumspekt͡sie,sirkɔ̃spɛktjɔ̃,t͡ʃirkospesione,siɾkunspeksion
t͡ʃirkumspekt͡siune,sirkɔ̃spɛktjɔ̃,t͡ʃirkospesione,siɾkunspeksion
t͡ʃirkumstant͡sə,sirkɔ̃stan,t͡ʃirkostansa,siɾkunstansia
t͡ʃireaʃə,səriz,t͡ʃilied͡ʒa,seɾesa
t͡ʃireʃ,səriz,t͡ʃiried͡ʒo,seɾeso
t͡ʃisalpin,sizalpɛ̃,t͡ʃisalpino,sisalpino
t͡ʃistə,sist,t͡ʃista,sista
t͡ʃitə,site,t͡ʃitare,sitado
t͡ʃitrin,sitrin,t͡ʃitrino,sitɾino
t͡ʃivil,sivil,t͡ʃivile,sibil
t͡ʃivilitate,sivilite,t͡ʃivilta,sibilidad
klandestin,klandɛstɛ̃,klandestino,klandestino
klasə,klaza,klasːare,klase
klasik,klasik,klasːiko,klasiko
klaustr,klwâtr,kiostro,klaustɾo
klaustra,klostre,kiostro,klaustɾo
klavikulə,klavikyl,klavikola,klabikula
klement,klem,klemente,klemente
klement͡sə,klemɛn,klemensa,klemensia
kler,klərik,klero,kleɾo
klerikal,klerikal,klerikale,kleɾikal
klient,klj,kliente,kljente
klientelə,kljɛntɛl,klientela,kljentela
klimə,klima,klima,klima
klinik,klinik,klinika,kliniko
kloakə,klɔak,kloaka,kloaka
koakə,kɥir,kotːu,aka
koaɡula,kɔaɡle,koaɡulare,koaɡwlaɾ
koapsə,kɥis,kost͡ʃa,kuxa
koardə,kɔrd,korda,kweɾda
korn,kɔr,korno,koɾnudo
koasə,kudr,kut͡ʃire,koseɾ
koastə,ko,kosta,kwesta
kot,mi,ɡomito,kode
kok,kɔkky,kotːu,aka
koerent,kɔe,koerente,koeɾente
koerent͡sə,kɔerɛn,koerensa,koeɾensia
koeziune,kɔesjɔ̃,koesione,koesjon
kohlee,kɔʃle,koklea,koklea
koif,kwaf,kufːia,kofja
kolabora,kɔlabɔre,kolːaborare,kolaboɾaɾ
kolaps,kɔla,kolːasːo,kolapso
kolektiv,kɔlɛktjf,kolːetːivo,kolektibo
koleɡ,kɔlɛɡɥ,kolːeɡa,koleɡa
kolinə,ʃɔlin,kolːina,kolina
koliziune,kɔlisjɔ̃,kolːisione,kolisjon
koloanə,kɔlɔn,kolonːa,kolumna
kolokviu,kɔlɔk,kolːokuio,kolokjo
kolon,kɔlɔ̃,kolon,kolon
kolor,kɔlɔri,kolore,koloɾ
kolos,kɔlɔz,kolosːo,koloso
kolostru,kɔlɔstrɥə̃,kolostro,kalostɾo
kolubru,kɔlœvr,kolubro,kulebɾa
kolumnə,kɔlɔn,kolonːa,kolumna
komə,kɔma,koma,koma
kombina,kɔmbine,kombinare,kombinaɾ
kombinat͡sie,kɔmbinɛzɔ̃,kombinasione,kombinasion
kombinat͡siune,kɔmbinɛzɔ̃,kombinasione,kombinasion
kombustie,kɔmbystjɔ̃,kombustione,kombustjon
komedie,kɔmedj,komːedia,komedja
komemora,kɔmemɔre,komːemorare,konmemoɾaɾ
komert͡s,kɔmɛrsan,komːert͡ʃo,komeɾsio
komestibil,kɔmɛstjbl,komːestibile,komestible
kometə,kɔmɛ,kometa,kometa
komik,kɔmik,komiko,komiko
komite,kɔmite,komite,kometeɾ
komitet,kɔmite,komitato,komite
kompakt,kɔmpakt,kompatːo,kompakto
komparat͡sie,kɔmparɛzɔ̃,komparasione,kompaɾasion
kompasiune,kɔmpasjɔ̃,kompasːione,kompasjon
kompendiu,kɔmpâdjɥə̃,kompendio,kompendjo
kompensa,kɔmpɛnse,kompensare,kompensaɾ
